year,month,us_pax_total,non_us_pax_total,yearmonth,us_pax_total_prev_year,non_us_pax_total_prev_year,us_pax_yoy_change,non_us_pax_yoy_change,us_pax_yoy_pct,non_us_pax_yoy_pct,yearmonth2
2022,5,113996,75493,May 2022,NA,NA,NA,NA,NA,NA,May22
2022,6,149668,86907,Jun 2022,NA,NA,NA,NA,NA,NA,Jun22
2022,7,201594,99520,Jul 2022,NA,NA,NA,NA,NA,NA,Jul22
2022,8,189897,113490,Aug 2022,NA,NA,NA,NA,NA,NA,Aug22
2022,9,156813,97460,Sep 2022,NA,NA,NA,NA,NA,NA,Sep22
2022,10,149728,87724,Oct 2022,NA,NA,NA,NA,NA,NA,Oct22
2022,11,107580,62726,Nov 2022,NA,NA,NA,NA,NA,NA,Nov22
2022,12,110719,71594,Dec 2022,NA,NA,NA,NA,NA,NA,Dec22
2023,1,119519,74661,Jan 2023,NA,NA,NA,NA,NA,NA,Jan23
2023,2,101193,52902,Feb 2023,NA,NA,NA,NA,NA,NA,Feb23
2023,3,147345,75280,Mar 2023,NA,NA,NA,NA,NA,NA,Mar23
2023,4,164685,84513,Apr 2023,NA,NA,NA,NA,NA,NA,Apr23
2023,5,174364,108004,May 2023,113996,75493,60368,32511,53,43.1,May23
2023,6,199110,118874,Jun 2023,149668,86907,49442,31967,33,36.8,Jun23
2023,7,242256,130075,Jul 2023,201594,99520,40662,30555,20.2,30.7,Jul23
2023,8,229454,143043,Aug 2023,189897,113490,39557,29553,20.8,26,Aug23
2023,9,190347,116292,Sep 2023,156813,97460,33534,18832,21.4,19.3,Sep23
2023,10,192559,104952,Oct 2023,149728,87724,42831,17228,28.6,19.6,Oct23
2023,11,133565,76918,Nov 2023,107580,62726,25985,14192,24.2,22.6,Nov23
2023,12,132376,86995,Dec 2023,110719,71594,21657,15401,19.6,21.5,Dec23
2024,1,137057,92449,Jan 2024,119519,74661,17538,17788,14.7,23.8,Jan24
2024,2,118652,65129,Feb 2024,101193,52902,17459,12227,17.3,23.1,Feb24
2024,3,174159,96137,Mar 2024,147345,75280,26814,20857,18.2,27.7,Mar24
2024,4,197748,106446,Apr 2024,164685,84513,33063,21933,20.1,26,Apr24
2024,5,202574,129476,May 2024,174364,108004,28210,21472,16.2,19.9,May24
2024,6,228190,128623,Jun 2024,199110,118874,29080,9749,14.6,8.2,Jun24
2024,7,275363,152018,Jul 2024,242256,130075,33107,21943,13.7,16.9,Jul24
2024,8,278564,162541,Aug 2024,229454,143043,49110,19498,21.4,13.6,Aug24
2024,9,214854,131679,Sep 2024,190347,116292,24507,15387,12.9,13.2,Sep24
2024,10,210179,117542,Oct 2024,192559,104952,17620,12590,9.2,12,Oct24
2024,11,149982,84244,Nov 2024,133565,76918,16417,7326,12.3,9.5,Nov24
2024,12,156980,97118,Dec 2024,132376,86995,24604,10123,18.6,11.6,Dec24
2025,1,164405,100834,Jan 2025,137057,92449,27348,8385,20,9.1,Jan25
2025,2,140643,68643,Feb 2025,118652,65129,21991,3514,18.5,5.4,Feb25
2025,3,196834,92632,Mar 2025,174159,96137,22675,-3505,13,-3.6,Mar25
